"産業分類小分類","事業所数","従業者数（人）","常用雇用者数（人）　","臨時　雇用者数（人）","就業者数（人）","年間商品販売額（万円）","その他の収入額（万円）　","売場面積（m2）"
"市　町　村　計","57.0","186.0","104.0","3.0","189.0","425419.0","21997.0","1895.0"
"卸　売　業　計","6.0","34.0","28.0","2.0","37.0","257901.0","17919.0","0.0"
"50_各種商品卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"501_各種商品卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"51_繊維・衣服等卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"511_繊維品卸売業（衣服，身の回り品を除く）","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"512_衣服卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"513_身の回り品卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"52_飲食料品卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"521_農畜産物・水産物卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"522_食料・飲料卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"53_建築材料，鉱物・金属材料等卸売業","3.0","20.0","14.0","2.0","22.0","64252.0","14100.0","0.0"
"531_建築材料卸売業","3.0","20.0","14.0","2.0","22.0","64252.0","14100.0","0.0"
"532_化学製品卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"533_石油・鉱物卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"534_鉄鋼製品卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"535_非鉄金属卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"536_再生資源卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"54_機械器具卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"541_産業機械器具卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"542_自動車卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"543_電気機械器具卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"549_その他の機械器具卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"55_その他の卸売業","3.0","14.0","14.0","0.0","15.0","193649.0","3819.0","0.0"
"551_家具・建具・じゅう器等卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"552_医薬品・化粧品等卸売業","1.0","8.0","8.0","0.0","9.0","x","x","0.0"
"553_紙・紙製品卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"559_他に分類されない卸売業","2.0","6.0","6.0","0.0","6.0","x","x","0.0"
"小売業計_","51.0","152.0","76.0","1.0","152.0","167518.0","4078.0","1895.0"
"56_各種商品小売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"561_百貨店，総合スーパー","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"569_その他の各種商品小売業（従業者が常時50人未満のもの）","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"57_織物・衣服・身の回り品小売業","6.0","8.0","3.0","0.0","8.0","4546.0","0.0","219.0"
"571_呉服・服地・寝具小売業","1.0","1.0","0.0","0.0","1.0","x","0.0","x"
"572_男子服小売業","1.0","1.0","0.0","0.0","1.0","x","0.0","x"
"573_婦人・子供服小売業","4.0","6.0","3.0","0.0","6.0","x","0.0","x"
"574_靴・履物小売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"579_その他の織物・衣服・身の回り品小売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"58_飲食料品小売業","20.0","69.0","40.0","1.0","70.0","86601.0","0.0","890.0"
"581_各種食料品小売業","1.0","2.0","0.0","0.0","2.0","x","0.0","x"
"582_野菜・果実小売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"583_食肉小売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"584_鮮魚小売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"585_酒小売業","5.0","10.0","0.0","0.0","10.0","2823.0","0.0","104.0"
"586_菓子・パン小売業","4.0","11.0","4.0","1.0","12.0","4639.0","0.0","101.0"
"589_その他の飲食料品小売業","10.0","46.0","36.0","0.0","46.0","x","0.0","x"
"59_機械器具小売業","5.0","14.0","7.0","0.0","14.0","13681.0","511.0","218.0"
"591_自動車小売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"592_自転車小売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"593_機械器具小売業（自動車，自転車を除く）","5.0","14.0","7.0","0.0","14.0","13681.0","511.0","218.0"
"60_その他の小売業","20.0","61.0","26.0","0.0","60.0","62690.0","3567.0","568.0"
"601_家具・建具・畳小売業","3.0","4.0","0.0","0.0","4.0","2880.0","0.0","0.0"
"602_じゅう器小売業","1.0","1.0","0.0","0.0","1.0","x","0.0","x"
"603_医薬品・化粧品小売業","4.0","22.0","9.0","0.0","21.0","33067.0","920.0","277.0"
"604_農耕用品小売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"605_燃料小売業","1.0","2.0","0.0","0.0","2.0","x","0.0","x"
"606_書籍・文房具小売業","1.0","9.0","8.0","0.0","9.0","x","0.0","x"
"607_スポーツ用品・がん具・娯楽用品・楽器小売業","3.0","6.0","2.0","0.0","6.0","2478.0","0.0","99.0"
"608_写真機・時計・眼鏡小売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"609_他に分類されない小売業","7.0","17.0","7.0","0.0","17.0","22382.0","2647.0","147.0"
"61_無店舗小売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"611_通信販売・訪問販売小売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"612_自動販売機による小売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"619_その他の無店舗小売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
