"産業分類小分類","事業所数","従業者数（人）","常用雇用者数（人）　","臨時　雇用者数（人）","就業者数（人）","年間商品販売額（万円）","その他の収入額（万円）　","売場面積（m2）"
"市　町　村　計","49.0","183.0","128.0","4.0","187.0","89593.0","3166.0","2282.0"
"卸　売　業　計","6.0","19.0","11.0","0.0","19.0","12480.0","602.0","0.0"
"50_各種商品卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"501_各種商品卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"51_繊維・衣服等卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"511_繊維品卸売業（衣服，身の回り品を除く）","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"512_衣服卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"513_身の回り品卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"52_飲食料品卸売業","2.0","11.0","8.0","0.0","11.0","x","x","0.0"
"521_農畜産物・水産物卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"522_食料・飲料卸売業","2.0","11.0","8.0","0.0","11.0","x","x","0.0"
"53_建築材料，鉱物・金属材料等卸売業","2.0","5.0","2.0","0.0","5.0","x","0.0","0.0"
"531_建築材料卸売業","1.0","2.0","0.0","0.0","2.0","x","0.0","0.0"
"532_化学製品卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"533_石油・鉱物卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"534_鉄鋼製品卸売業","1.0","3.0","2.0","0.0","3.0","x","0.0","0.0"
"535_非鉄金属卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"536_再生資源卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"54_機械器具卸売業","1.0","2.0","1.0","0.0","2.0","x","0.0","0.0"
"541_産業機械器具卸売業","1.0","2.0","1.0","0.0","2.0","x","0.0","0.0"
"542_自動車卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"543_電気機械器具卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"549_その他の機械器具卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"55_その他の卸売業","1.0","1.0","0.0","0.0","1.0","x","x","0.0"
"551_家具・建具・じゅう器等卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"552_医薬品・化粧品等卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"553_紙・紙製品卸売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"559_他に分類されない卸売業","1.0","1.0","0.0","0.0","1.0","x","x","0.0"
"小売業計_","43.0","164.0","117.0","4.0","168.0","77113.0","2564.0","2282.0"
"56_各種商品小売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"561_百貨店，総合スーパー","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"569_その他の各種商品小売業（従業者が常時50人未満のもの）","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"57_織物・衣服・身の回り品小売業","5.0","8.0","4.0","0.0","8.0","4031.0","100.0","233.0"
"571_呉服・服地・寝具小売業","1.0","3.0","2.0","0.0","3.0","x","x","x"
"572_男子服小売業","2.0","2.0","0.0","0.0","2.0","x","x","x"
"573_婦人・子供服小売業","1.0","2.0","2.0","0.0","2.0","x","0.0","x"
"574_靴・履物小売業","1.0","1.0","0.0","0.0","1.0","x","0.0","x"
"579_その他の織物・衣服・身の回り品小売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"58_飲食料品小売業","17.0","96.0","79.0","4.0","100.0","35699.0","692.0","807.0"
"581_各種食料品小売業","1.0","2.0","0.0","0.0","2.0","x","0.0","x"
"582_野菜・果実小売業","3.0","6.0","4.0","0.0","6.0","3469.0","0.0","194.0"
"583_食肉小売業","1.0","8.0","8.0","0.0","8.0","x","x","x"
"584_鮮魚小売業","2.0","4.0","0.0","0.0","4.0","x","x","x"
"585_酒小売業","1.0","2.0","0.0","0.0","2.0","x","0.0","x"
"586_菓子・パン小売業","3.0","15.0","13.0","0.0","15.0","2336.0","0.0","154.0"
"589_その他の飲食料品小売業","6.0","59.0","54.0","4.0","63.0","19200.0","541.0","260.0"
"59_機械器具小売業","1.0","4.0","3.0","0.0","4.0","x","x","x"
"591_自動車小売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"592_自転車小売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"593_機械器具小売業（自動車，自転車を除く）","1.0","4.0","3.0","0.0","4.0","x","x","x"
"60_その他の小売業","18.0","54.0","31.0","0.0","54.0","36121.0","x","x"
"601_家具・建具・畳小売業","2.0","3.0","0.0","0.0","3.0","x","x","0.0"
